fold,auc
0,0.8944153577661431
1,0.9424083769633508
2,0.8845674395412615
3,0.8801047120418848
4,0.9399214659685864
5,0.9344303166292695
6,0.9151084517576663
7,0.8994016454749438
8,0.9462041884816754
9,0.91217277486911
10,0.900149588631264
11,0.8724756918474197
12,0.9222139117427076
13,0.9768324607329842
14,0.919240837696335
15,0.8729743206182996
16,0.9149837945649464
17,0.8974071303914236
18,0.9490837696335078
19,0.9630890052356021
20,0.8794564946397406
21,0.9275741710296683
22,0.9399152331089504
23,0.9212041884816753
24,0.937041884816754
