fold,auc
0,0.8952879581151832
1,0.9356768885564697
2,0.8748441785091
3,0.8797120418848168
4,0.9431937172774869
5,0.9359262029419098
6,0.9215906257791074
7,0.9020194465220643
8,0.9541884816753926
9,0.9031413612565445
10,0.887309897781102
11,0.8677387185240588
12,0.8747195213163799
13,0.9735602094240837
14,0.9083115183246073
15,0.8654948890550984
16,0.9092495636998255
17,0.8702318623784593
18,0.9328534031413612
19,0.9640052356020942
20,0.8742208925454998
21,0.9220892545499875
22,0.9374220892545501
23,0.8990837696335079
24,0.9492146596858639
