fold,auc
0,0.7980553477935677
1,0.8521565694340563
2,0.824358015457492
3,0.7907068062827226
4,0.8145287958115184
5,0.7475691847419597
6,0.7933183744702069
7,0.7975567190226875
8,0.837696335078534
9,0.768717277486911
10,0.743455497382199
11,0.7969334330590875
12,0.806407379705809
13,0.894371727748691
14,0.7171465968586387
15,0.7695088506606832
16,0.8162552979306905
17,0.7961854899027674
18,0.7532722513089005
19,0.8655759162303666
20,0.7004487658937921
21,0.7949389179755671
22,0.850660683121416
23,0.8410994764397907
24,0.8589005235602094
