fold,auc
0,0.9081276489653453
1,0.9395412615307903
2,0.9158563949139866
3,0.8763089005235601
4,0.9273560209424084
5,0.9268262278733483
6,0.9156070805285464
7,0.8946646721515832
8,0.9399214659685865
9,0.8907068062827226
10,0.899900274245824
11,0.8591373722263775
12,0.9301919720767888
13,0.9712041884816754
14,0.906282722513089
15,0.8951633009224632
16,0.9324358015457492
17,0.8678633757167789
18,0.956871727748691
19,0.9655759162303665
20,0.8653702318623785
21,0.9285714285714285
22,0.9424083769633507
23,0.8892670157068063
24,0.931020942408377
