fold,auc
0,0.7775492395911244
1,0.8275991024682123
2,0.8110196958364497
3,0.7637434554973822
4,0.8337696335078534
5,0.7296185489902767
6,0.8184991273996509
7,0.8320867614061331
8,0.8518324607329844
9,0.8196335078534032
10,0.7466965843929194
11,0.8332086761406134
12,0.8125155821490899
13,0.9210732984293193
14,0.7955497382198953
15,0.7728745948641237
16,0.8585140862627774
17,0.7964348042882075
18,0.8158376963350784
19,0.830759162303665
20,0.712665170780354
21,0.8201196709050113
22,0.8777112939416604
23,0.8413612565445026
24,0.8612565445026178
