fold,auc
0,0.9159810521067066
1,0.9412864622288706
2,0.9119920219396659
3,0.9010471204188482
4,0.9413612565445026
5,0.9446522064323111
6,0.9167289952630268
7,0.894166043380703
8,0.9537958115183246
9,0.900916230366492
10,0.9048865619546249
11,0.8663674894041387
12,0.9101221640488656
13,0.9701570680628272
14,0.9244764397905759
15,0.8833208676140614
16,0.9156070805285464
17,0.8627524308152581
18,0.9302356020942408
19,0.9571989528795811
20,0.8674894041386187
21,0.9224632261281477
22,0.9385440039890302
23,0.8909685863874345
24,0.9345549738219895
